pricing_plan	total_paid	second_pay_users	third_pay_users	3rd_pay_pct_of_all	3rd_pay_pct_of_2nd_pay
Monthly	513235	279212	169021	32.9	60.5
₹999 for 3 Months	88267	27141	10212	11.6	37.6
₹1799 for 12 Months	45078	11483	21	0.0	0.2
₹999 for 6 Months	29438	9820	72	0.2	0.7
₹1099 for 6 Months	25703	7676	24	0.1	0.3
₹1799 for 6 Months	25055	6699	0	0.0	0.0
₹999 for 12 Months	5396	1823	5	0.1	0.3
₹2399 for 12 Months	2565	617	2	0.1	0.3
₹1499 for 12 Months	2561	760	2	0.1	0.3
₹1299 for 6 Months	1743	439	0	0.0	0.0
₹1499 for 3 Months	725	175	0	0.0	0.0
